Al,Co,Cr,Cu,Fe,Mg,Mn,Ni,Si,Ti,V,Zn,YS,UTS,Elongation
88.94840423,0,0,0.932072444,0.002127049,3.315119216,0.011530024,0,4.72E-05,0.005111027,0.003262854,3.829714583,100.7433106,195.1540436,384.5724455
89.18708852,0,0,0.925241745,0.000942832,3.410017689,3.62E-07,0.000210379,0.000346208,0.00166213,0.003226203,3.82972924,520.6395426,604.3761663,-16.67820909
89.68948936,0,0,0.923649105,0.001632757,3.417132902,0,0.00014997,1.82E-05,0.003939532,0.004118124,3.829152566,114.8097604,206.0464477,379.734983
89.70156854,0,0,0.923669205,0.002641663,3.422540799,0,3.30E-06,1.84E-05,0.000100832,0.002169378,3.829107765,114.094267,205.3309543,380.4504764
89.84234351,0,0,0.699244473,0.00159099,3.422727637,5.99E-07,5.56E-06,0.00036155,0.002969185,0.003243668,3.82972924,518.3111806,604.1872873,-17.12051338
89.86683337,0,0,0.925241745,0.001602614,3.116296138,4.11E-07,0.004057143,0.000346355,0.00166213,0.002796377,3.82972924,514.2000685,599.612221,-17.86395373
89.95587552,0,0,0.93963828,0.001365052,3.050220944,0.009040089,0,1.77E-05,0.000475701,0.003083075,3.829714206,94.74203648,189.1527695,390.5737196
89.96474772,0,0,1.079347315,0.002082014,3.363884418,0.000133472,0,2.80E-05,0.000243325,0.003137095,3.82971454,104.5993038,199.0100368,380.7164523
89.97658478,0,0,0.939150501,0.002055702,3.363884418,0.00013438,0,2.80E-05,0.00027195,0.002780796,3.829728936,105.8809214,200.2916544,379.4348347
90.07724949,0,0.004383418,0.923649105,4.11E-05,3.184943417,0,6.60E-06,5.15E-06,0.006082309,0.002426198,3.826195935,111.5911619,202.8278492,382.9535816
90.13733893,0,4.28E-08,0.920299522,3.10E-05,3.418987638,1.15E-05,0.002514511,0.00013442,0.005442183,0.002807461,3.829729216,96.89542405,172.8865387,376.9304098
90.16618753,0,1.61E-09,0.782000692,0.00176135,3.325983104,1.11E-06,3.48E-05,1.40E-05,6.87E-05,0.002804777,3.662869354,91.42766682,167.4187815,382.398167
90.16618753,0,3.11E-09,0.782000692,0,3.416267054,3.79E-12,0,2.05E-05,6.87E-05,0.002804831,3.829729239,93.70157939,169.6926941,380.1242545
90.22549811,0,1.65E-09,0.91879013,0.007774181,3.393030614,1.15E-05,0,0.000115593,6.88E-05,0.001423432,3.82972921,95.9171266,171.9082413,377.9087073
90.86083731,0,0,1.042182683,0.000689138,3.420208311,6.37E-07,1.94E-05,4.77E-05,0.002413934,0.003246695,3.82972924,520.8344934,609.5632118,-16.85471
90.86757873,0,0,0.925241745,0.000392218,3.603576554,6.50E-07,0.000127316,4.76E-05,0.003618137,0.002271161,3.82972924,520.9735926,607.9988844,-16.3708992
90.88295558,0,0,0.925241745,0.000392218,3.500959299,6.15E-07,2.49E-05,4.80E-05,0.001728807,0.003259595,3.82972924,521.4331779,610.072774,-16.82597302
90.89416977,0,2.84E-08,0.919084909,1.96E-05,3.419846725,1.18E-06,5.82E-05,1.48E-05,0.00339076,0.002806495,3.82972924,99.33072668,175.3218414,374.4951072
90.9313667,0,0,0.92365277,0.006892865,3.432696848,0,0.005558062,7.87E-06,0.005324987,0.002431006,3.829729201,119.8597073,211.0963946,374.6850361
