,C,Al,V,Cr,Mn,Fe,Co,Ni,Cu,Mo,Ti,Hom_Temp(K),CR(%),Anneal_Temp(K),Anneal_Time(h),Miedema_dH_inter,Miedema_dH_amor,Miedema_dH_ss_min,Yang delta,Yang omega,APE mean,Radii local mismatch,Radii gamma,Configuration entropy,Lambda entropy,Electronegativity delta,Electronegativity local mismatch,VEC mean,Mixing enthalpy,Mean cohesive energy,Shear modulus mean,Shear modulus delta,Shear modulus local mismatch,Shear modulus strength model,mean atomic_mass,std_dev atomic_mass,mean atomic_radius,std_dev atomic_radius,mean mendeleev_no,std_dev mendeleev_no,mean electrical_resistivity,std_dev electrical_resistivity,mean thermal_conductivity,std_dev thermal_conductivity,mean melting_point,std_dev melting_point,mean bulk_modulus,std_dev bulk_modulus,mean coefficient_of_linear_thermal_expansion,std_dev coefficient_of_linear_thermal_expansion,Liquidus,Solidus,AnnealT Specific heat,AnnealT Gibbs (BCC-FCC),AnnealT Gibbs (HCP-FCC),RoomT Specific heat,RoomT Gibbs (BCC-FCC),RoomT Gibbs (HCP-FCC),YS,UTS,Elongation,Density
0,0,0,10,15,0,40,10,25,0,0,0,1373,75,1173,0.166666667,-0.231715739,-0.139820895,-0.271516455,0.022961075,3.739500065,0.006297991,1.36,1.043159393,-0.012123266,-22.99509416,0.057113998,0.145925,8,6.09,4.407,81.1675,0.220812555,8.628875,-0.024078703,55.7982345,3.216959601,1.3775,0.029014423,61.5,4.802210375,1.03E-07,4.45E-08,81.95,21.3792289,1878.5,207.3921324,171,8.959470344,1.09E-05,3.37E-06,1640.86,1594.81,33.4738,69913.1,69913.1,27.2368,5403.454373,19611.2,397,721,58,7.895604217
1,0,0,10,15,5,35,10,25,0,0,0,1373,75,1173,0.166666667,-0.253863478,-0.160519991,-0.28273103,0.024205725,3.982747268,0.00275389,1.5225,1.043116855,-0.013376253,-22.82959811,0.060846055,0.159725,7.95,6.26,4.339,80.9175,0.221843138,8.641375,-0.024249559,55.75288675,3.150184472,1.3775,0.028347335,61.45,4.705274741,1.70E-07,3.35E-07,78.34,27.85948974,1863.9,221.0790832,168.5,15.40576718,1.14E-05,4.24E-06,1609.48,1564.7,33.7057,72152.9,72152.9,27.2931,4122.664503,19611.6,442,745,53,7.874701271
2,0,0,10,15,10,30,10,25,0,0,0,1373,75,1173,0.166666667,-0.271624563,-0.175872471,-0.286854545,0.02507837,4.02456224,-0.00079463,1.65,1.043074423,-0.013993368,-22.24967356,0.064048397,0.171125,7.9,6.43,4.271,80.6675,0.222836464,8.628875,-0.024404364,55.707539,3.106482893,1.3775,0.027898062,61.4,4.643247616,2.37E-07,4.52E-07,74.73,32.3747922,1849.3,233.1874027,166,19.23047895,1.19E-05,4.87E-06,1578.41,1535.93,33.9377,73612,73612,26.5979,1680.531416,19611.8,544,860,46.2,7.853874947
3,0,0,20,15,0,20,0,45,0,0,0,1373,75,1273,0.166666667,-0.258342015,-0.162613835,-0.257647176,0.026378036,1.927836612,-0.00082971,1.71,1.043026057,-0.010705702,-15.38615964,0.075071083,0.194525,8,10.57,4.531,76.8815,0.269169065,10.525375,-0.033157592,55.568745,3.906399925,1.3675,0.028606736,61.7,6.337055577,1.11E-07,5.79E-08,77.25,28.29666833,1903.4,247.7618954,171,10.66156953,1.08E-05,3.72E-06,1570.66,1516.09,34.3428,77976.7,77976.7,27.2022,8826.03928,19608.2,352,790,64.2,7.79146733
4,0,0,20,15,0,20,0,45,0,0,0,1373,75,1223,0.166666667,-0.258342015,-0.162613835,-0.257647176,0.026378036,1.927836612,-0.00082971,1.71,1.043026057,-0.010705702,-15.38615964,0.075071083,0.194525,8,10.57,4.531,76.8815,0.269169065,10.525375,-0.033157592,55.568745,3.906399925,1.3675,0.028606736,61.7,6.337055577,1.11E-07,5.79E-08,77.25,28.29666833,1903.4,247.7618954,171,10.66156953,1.08E-05,3.72E-06,1570.66,1516.09,33.7992,73812.1,73812.1,27.2022,8826.03928,19608.2,555,976,45.6,7.79146733
5,0,0,20,15,0,20,0,45,0,0,0,1373,75,1173,0.166666667,-0.258342015,-0.162613835,-0.257647176,0.026378036,1.927836612,-0.00082971,1.71,1.043026057,-0.010705702,-15.38615964,0.075071083,0.194525,8,10.57,4.531,76.8815,0.269169065,10.525375,-0.033157592,55.568745,3.906399925,1.3675,0.028606736,61.7,6.337055577,1.11E-07,5.79E-08,77.25,28.29666833,1903.4,247.7618954,171,10.66156953,1.08E-05,3.72E-06,1570.66,1516.09,33.2662,69716.6,69716.6,27.2022,8826.03928,19608.2,587,1013,38.5,7.79146733
6,0,0,20,15,0,20,0,45,0,0,0,1373,75,1073,0.166666667,-0.258342015,-0.162613835,-0.257647176,0.026378036,1.927836612,-0.00082971,1.71,1.043026057,-0.010705702,-15.38615964,0.075071083,0.194525,8,10.57,4.531,76.8815,0.269169065,10.525375,-0.033157592,55.568745,3.906399925,1.3675,0.028606736,61.7,6.337055577,1.11E-07,5.79E-08,77.25,28.29666833,1903.4,247.7618954,171,10.66156953,1.08E-05,3.72E-06,1570.66,1516.09,32.2315,61740.3,61740.3,27.2022,8826.03928,19608.2,715,1149,19.6,7.79146733
7,0,0,10,10,0,45,10,25,0,0,0,1373,75,1173,0.166666667,-0.214911447,-0.126371283,-0.274352769,0.022509886,3.711144087,0.009828231,1.2475,1.043189842,-0.011611977,-22.91709645,0.055703125,0.138225,8.1,5.82,4.416,79.4085,0.201100211,7.309625,-0.019719482,55.9906795,3.116338164,1.3775,0.02962532,61.7,4.750513223,1.02E-07,4.50E-08,81.25,21.58235095,1860.05,195.5379831,171.5,8.650011274,1.13E-05,3.02E-06,1649.04,1601.68,33.444,70087.9,70087.9,27.5081,5128.804221,19611.1,339,684,47,7.930691218
8,0,0,10,10,0,45,20,15,0,0,0,1373,75,1173,0.166666667,-0.218033524,-0.127942455,-0.266841484,0.022830534,4.12395572,0.009825835,1.2275,1.043202037,-0.011858267,-22.75040315,0.054029382,0.132225,8,5.36,4.411,79.5455,0.200349873,7.254825,-0.019630094,56.014659,3.124781889,1.3775,0.02941742,61.4,4.351673579,1.01E-07,4.60E-08,82.15,22.22666137,1864.05,190.851414,171.5,8.58930869,1.13E-05,2.97E-06,1656.67,1603.4,33.3626,70381.7,70381.7,26.5944,3703.966751,19611.8,345,689,52.6,7.925107527
9,0,0,10,10,0,45,30,5,0,0,0,1373,75,1173,0.166666667,-0.171865218,-0.089504885,-0.229722232,0.023120686,4.218159914,0.009824679,1.1875,1.043214241,-0.01106447,-20.69803809,0.05220774,0.124225,7.9,4.9,4.406,79.6825,0.19958649,7.172625,-0.019489517,56.0386385,3.222886251,1.3775,0.030054695,61.1,4.005470711,9.93E-08,4.82E-08,83.05,23.44266184,1868.05,191.4178656,171.5,8.775380292,1.12E-05,2.99E-06,1663.3,1607.89,33.2814,69547.4,69547.4,25.811,2753.64086,19612,348,714,62,7.919536461
