C,Al,V,Cr,Mn,Fe,Co,Ni,Cu,Mo,Ti,YS,UTS,Elongation
3.627196114,39.771238,0.710386781,9.303622313,13.10054807,19.563708,4.99264086,0.035414763,3.602705336,3.66838548,2.432221098,494.6382482,741.4404943,270.6451991
3.736259656,39.93348227,0.705272244,3.670464254,13.91243213,13.11998005,3.155247626,12.53465497,0,4.448984298,4.78676788,761.1396599,1007.941906,4.143787392
3.736259656,39.9335019,0.710426805,3.670491765,13.91243213,13.11998005,3.155247626,12.53440138,0,4.448984298,4.78676788,761.1346746,1007.936921,4.14877266
3.736348989,39.9335019,0.710347597,3.670491765,13.91243213,13.11998005,3.155875766,12.53440138,0,4.448984298,4.78676788,761.1340209,1007.936267,4.149426405
3.738839906,39.92943322,0.705043112,3.689028,13.91243213,13.11998005,3.156551362,12.53440138,0,4.448946066,4.78676788,761.1213727,1007.923619,4.16207453
3.739275266,39.8899377,3.060406875,3.697259883,13.58297892,13.13126713,3.283827942,12.55384198,0.000429779,4.671205867,4.771911469,485.0940698,731.8963159,280.1893774
3.751066273,39.88494491,0.706166381,9.28239498,13.08900072,19.44312091,3.200770281,0.161697329,0.007386035,4.450389169,2.659454647,757.8966466,1004.698893,7.386800697
3.75287367,39.77214536,0.710386781,9.303622313,13.10054807,19.563708,4.99264086,0.035414763,3.602705336,3.66838548,2.432221098,494.5140427,741.3162888,270.7694046
3.752879941,39.92163904,0.048568191,9.261559426,13.12480435,19.563708,4.914492099,0.037366573,0,4.482914226,2.304275075,495.3079884,742.1102345,269.9754588
3.752937491,39.79741867,0.086930376,9.261588822,13.12480435,19.563708,4.974792931,0.035760624,0,3.665440884,2.344485294,492.17879,738.981036,273.1046573
3.754539856,39.93348142,0.705334565,3.672413051,13.91243213,13.01050803,3.135411467,12.53465682,0.105417178,4.444721829,4.78676788,761.139137,1007.941383,4.144310226
3.755928288,39.93350102,0.699023811,3.67199815,13.91243213,13.00855654,3.130842586,12.53465682,0,4.445144991,4.792893428,761.0320106,1007.834257,4.251436671
3.755928288,39.93350102,0.699023811,3.67199815,13.91243213,13.00776373,3.135411467,12.53465682,0.135417194,4.445144991,4.78676788,761.1245989,1007.926845,4.158848372
3.755974846,39.9335055,0.744804778,3.672152535,13.91243213,12.84986217,3.411173517,12.53465669,0,4.444720862,4.741462408,761.1409743,1007.94322,4.142473012
3.810932763,39.771238,0.704955214,9.190617333,13.09622338,18.99351005,4.801226187,0.001223349,3.467163038,3.865257426,2.281689751,761.130216,1007.932462,4.153231241
3.810932763,39.63295993,12.71233219,9.190617333,13.09622338,18.99351005,4.801226187,0.063785453,3.451937422,3.865122565,2.281689751,749.1472351,995.9494812,16.13621221
4.270526891,36.70328581,12.81884962,9.120235994,3.597774141,18.13301599,5.127705028,1.101753,2.060451275,4.447905879,2.618496363,761.1357821,1007.938028,4.147665161
4.332077932,42.77573365,6.206575875,5.394008724,4.721569357,1.240092402,16.21920293,0.224601593,13.85123412,2.54795695,4.225259428,883.5973363,1216.642258,496.6687769
4.600421119,42.85575693,15.00138456,1.788226311,2.763147574,1.246061296,11.20813912,11.34310666,0.416643521,1.210494932,5.288477938,912.8174926,1120.777454,428.3299683
