,Al,Co,Cr,Cu,Fe,Mg,Mn,Ni,Si,Ti,V,Zn,Processing,Miedema_dH_inter,Miedema_dH_amor,Miedema_dH_ss_min,Yang delta,Yang omega,APE mean,Radii local mismatch,Radii gamma,Configuration entropy,Lambda entropy,Electronegativity delta,Electronegativity local mismatch,VEC mean,Mixing enthalpy,Mean cohesive energy,Shear modulus mean,Shear modulus delta,Shear modulus local mismatch,Shear modulus strength model,mean atomic_mass,std_dev atomic_mass,mean atomic_radius,std_dev atomic_radius,mean mendeleev_no,std_dev mendeleev_no,mean electrical_resistivity,std_dev electrical_resistivity,mean thermal_conductivity,std_dev thermal_conductivity,mean melting_point,std_dev melting_point,mean bulk_modulus,std_dev bulk_modulus,mean coefficient_of_linear_thermal_expansion,std_dev coefficient_of_linear_thermal_expansion,YS,UTS,Elongation,Density
1,95.57898237,0,0,0,0,4.421017627,0,0,0,0,0,0,Solutionised  + Artificially peak aged,-0.003104127,0.030750871,0.000665157,0.027535774,4.155668458,0.017834826,0.802857353,1.080944424,-0.001505673,-1.985802831,0.036999562,0.031691738,12.5136879,0.338045201,3.306884841,26.18193994,0.072467332,0.390019651,-0.003082738,26.86320832,1.892598594,1.261052548,0.176776695,79.69052866,4.949747468,2.78E-08,1.20E-08,231.6842357,53.03300859,933.0071193,7.403407999,74.62948407,21.92031022,2.24E-05,1.05E-05,90,190,25,2.639641234
2,96.1962159,0,0,3.054439864,0.304436122,0.011658256,0.103153988,0,0,0.035517654,0,0.294578217,No Processing,-0.016530271,0.018003646,-0.012675422,0.019512362,4.311714534,0.026398467,0.503897036,1.161055393,-0.001576656,-4.141115293,0.01436298,0.010335126,12.91007536,0.347147975,3.389569088,27.40967305,0.17105514,0.796446582,-0.009011051,28.33539222,25.2172967,1.254042826,0.075998791,79.65427177,7.085121616,2.86E-08,1.70E-07,238.9104238,116.4089633,949.3528228,339.1803231,78.27718683,45.03839116,2.29E-05,5.11E-06,85,135,1.8,2.862636994
14,96.1962159,0,0,3.054439864,0.304436122,0.011658256,0.103153988,0,0,0.035517654,0,0.294578217,Solutionised,-0.016530271,0.018003646,-0.012675422,0.019512362,4.311714534,0.026398467,0.503897036,1.161055393,-0.001576656,-4.141115293,0.01436298,0.010335126,12.91007536,0.347147975,3.389569088,27.40967305,0.17105514,0.796446582,-0.009011051,28.33539222,25.2172967,1.254042826,0.075998791,79.65427177,7.085121616,2.86E-08,1.70E-07,238.9104238,116.4089633,949.3528228,339.1803231,78.27718683,45.03839116,2.29E-05,5.11E-06,125,240,6,2.862636994
17,97.78260343,0,0,0.05355823,0.170642928,1.176246163,0.619500039,0,0.145416444,0,0,0.052032767,Strain hardened,-0.008555714,0.025721189,-0.006500329,0.018340716,1.427341709,0.023251131,0.356534867,1.247542848,-0.001114285,-3.31256029,0.021702703,0.012396683,12.82477302,0.733573238,3.36728882,26.9190303,0.174163722,0.541132885,-0.00838255,27.21368334,13.34681834,1.254013307,0.146716095,79.76224516,9.195327229,1.49E-06,0.000182333,232.3507416,101.720364,939.6693593,315.7099655,76.13440204,30.79122919,2.29E-05,8.89E-06,58.6,166,20,2.714127578
18,96.80826631,0,0.12987389,0.021253684,0.096738278,2.778414661,0.024583813,0,0.120221035,0,0,0.02064833,Strain hardened,-0.002742567,0.031526629,0.000817972,0.023922135,3.026675516,0.020543776,0.585653806,1.247281888,-0.001330099,-2.324256064,0.030612593,0.022278208,12.67954252,0.411657233,3.340524208,26.5379194,0.154198607,0.45314519,-0.00614074,26.9914887,6.473927427,1.257184388,0.169035004,79.75582814,6.326808363,1.23E-06,0.000139118,232.4364074,60.71110956,936.7372327,239.9664103,75.39075462,27.25564648,2.26E-05,1.06E-05,106,191.5,15,2.670901032
19,96.90725932,0,0.062146156,0,0,2.991382381,0.039212143,0,0,0,0,0,Strain hardened,-0.002409602,0.031469552,0.000241699,0.022993513,3.932159953,0.019902104,0.561715271,1.134438558,-0.001189641,-2.25011848,0.030736336,0.022141569,12.66424537,0.282622436,3.334019019,26.38947425,0.110686143,0.343356643,-0.003796944,26.92798111,3.887417904,1.257630485,0.174838283,79.76846744,5.623876631,2.81E-08,1.15E-07,232.5797499,57.00798699,934.1610719,135.575075,75.14212866,23.5066673,2.26E-05,1.05E-05,180,260,14,2.661684416
20,96.20370458,0,0.065205714,0.021341677,0.09713869,3.013108042,0.370283745,0,0.120718621,0.056664433,0,0.0518345,Strain hardened,-0.009936325,0.024742695,-0.005207511,0.024977956,2.100012853,0.020428703,0.652471204,1.247267307,-0.001605295,-2.573006942,0.031946163,0.024750669,12.63208173,0.717359103,3.334228825,26.64142111,0.169754843,0.597394236,-0.00813431,27.089648,8.736734124,1.258308812,0.164114581,79.66739439,7.43947622,1.24E-06,0.000128024,231.408675,76.55653424,938.4341865,242.8568996,75.43373109,26.39050614,2.26E-05,1.01E-05,138,240,12.95,2.680053416
21,94.82061802,0,0.07801875,0.021279459,0.121069335,4.45084758,0.221522435,0,0.192586656,0.042374399,0,0.051683364,Strain hardened,-0.008368433,0.026393903,-0.002230844,0.029942817,2.428642448,0.018464404,0.919195595,1.247084371,-0.001972416,-2.199952063,0.038374312,0.034887841,12.48277008,0.761940603,3.308887984,26.46672556,0.168208569,0.678689169,-0.008341017,27.01741799,6.952075669,1.261605686,0.168305779,79.59675968,6.501177606,1.96E-06,0.000139398,230.5826192,66.3587908,938.1799951,212.7893955,74.96819272,25.57336541,2.24E-05,1.04E-05,152.5,261,12.95,2.656666511
22,94.22093814,0,0.078020129,0.02127982,0.09685724,4.951658284,0.344596718,0,0.192590219,0.042375148,0,0.051684305,Strain hardened,-0.009880031,0.024891242,-0.003328559,0.031311531,2.308604424,0.017836772,1.012491463,1.247022305,-0.002143312,-2.186133628,0.040260055,0.038416691,12.4215068,0.871430754,3.298678837,26.46865439,0.179545615,0.768182541,-0.009535707,27.0314337,7.126826958,1.263006008,0.168121199,79.54168771,6.60122469,1.96E-06,0.000132324,229.964906,68.53530451,938.6357817,207.1472422,74.84433746,25.15739558,2.23E-05,1.03E-05,148,248.5,12.95,2.653484927
23,93.54901053,0,0.064967839,0.021263796,0.096784254,5.67065966,0.368932631,0,0.120278231,0.05645765,0,0.051645405,Strain hardened,-0.011727235,0.022981264,-0.004753064,0.032534967,2.413025553,0.016722837,1.113175283,1.246910602,-0.002288788,-2.16224435,0.042711268,0.042926443,12.33988426,0.889835454,3.284263674,26.39492684,0.180173917,0.820196809,-0.009893626,27.01782895,6.903139101,1.264949858,0.169325076,79.48180981,6.542221379,1.24E-06,9.94E-05,229.4203705,67.93833572,938.1366736,188.6471645,74.60854839,24.84435989,2.22E-05,1.03E-05,188.5,305.5,12.95,2.645118016
24,96.90725932,0,0.062146156,0,0,2.991382381,0.039212143,0,0,0,0,0,Strain hardened,-0.002409602,0.031469552,0.000241699,0.022993513,3.932159953,0.019902104,0.561715271,1.134438558,-0.001189641,-2.25011848,0.030736336,0.022141569,12.66424537,0.282622436,3.334019019,26.38947425,0.110686143,0.343356643,-0.003796944,26.92798111,3.887417904,1.257630485,0.174838283,79.76846744,5.623876631,2.81E-08,1.15E-07,232.5797499,57.00798699,934.1610719,135.575075,75.14212866,23.5066673,2.26E-05,1.05E-05,125,250,18,2.661684416
25,96.49703162,0,0.051970653,0,0,3.057496826,0.393500902,0,0,0,0,0,Strain hardened,-0.005387403,0.028547538,-0.002530612,0.023568206,2.410962956,0.020067292,0.60411611,1.134445004,-0.001386468,-2.496070511,0.031276783,0.023442739,12.63642689,0.538322373,3.331038521,26.55109859,0.153604959,0.515883065,-0.006844194,27.02271282,7.300591929,1.25831196,0.169144151,79.69532145,6.923896311,3.31E-08,3.40E-07,231.7395611,74.30695701,936.1017773,178.0951286,75.26897062,24.31512035,2.26E-05,9.97E-06,124.105626,248.211252,18,2.672755376
26,95.99545937,0,0.129385588,0,0,3.875155045,0,0,0,0,0,0,Strain hardened,-0.002737723,0.031168201,0.000727832,0.026044935,3.943746094,0.018690892,0.721962083,1.134380498,-0.001444992,-2.130193063,0.034943851,0.028518906,12.56467558,0.342466559,3.318065666,26.34891257,0.140726194,0.46025537,-0.005474382,26.91018382,3.749199538,1.259881974,0.174844083,79.69898016,5.69026047,2.78E-08,1.75E-08,231.9111972,55.15140641,934.6771055,161.7139907,74.90738514,24.22443516,2.25E-05,1.06E-05,115,240,25,2.650878195
27,95.99545937,0,0.129385588,0,0,3.875155045,0,0,0,0,0,0,Strain hardened,-0.002737723,0.031168201,0.000727832,0.026044935,3.943746094,0.018690892,0.721962083,1.134380498,-0.001444992,-2.130193063,0.034943851,0.028518906,12.56467558,0.342466559,3.318065666,26.34891257,0.140726194,0.46025537,-0.005474382,26.91018382,3.749199538,1.259881974,0.174844083,79.69898016,5.69026047,2.78E-08,1.75E-08,231.9111972,55.15140641,934.6771055,161.7139907,74.90738514,24.22443516,2.25E-05,1.06E-05,115,240,25,2.650878195
